,cell,treatment,ME1,ME2,ME3,ME4,ME5,ME6,ME7,ME8,ME9,ME10,ME11,ME12,ME13,ME14,ME16,ME17,ME18,ME19,ME20,ME21,ME22,ME23,ME24
70,OVISE,ERI,-0.038576872,0.041816175,0.032682633,-0.018601286,0.036746667,-0.104414824,0.096357767,-0.054298456,-0.031522342,0.181699763,0.018878451,-0.031641475,0.083613411,-0.044380541,-0.019291181,-0.005491,-0.021463582,-0.006339002,-0.022697818,0.027768208,0.223130986,-0.012801376,-0.054511194
71,OVISE,ERI,-0.038382714,0.038968565,0.033321585,-0.01762756,0.036354659,-0.106953822,0.096291411,-0.04998186,-0.028898915,0.182596788,0.018683592,-0.031721329,0.084389743,-0.041654243,-0.035199414,0.004216807,-0.029220727,-0.018636428,-0.008098531,0.047858291,0.253859651,-0.007032027,-0.064346855
72,OVISE,ERI,-0.038464755,-0.025622772,0.034808881,-0.026027909,0.034952928,-0.098375952,0.095941705,-0.047485019,-0.030977512,0.182322328,0.03472231,-0.036501184,0.08357887,-0.041334491,-0.027229758,-0.024326035,-0.028885233,-0.029448666,0.004430541,0.005008444,0.287934006,-0.049392032,-0.094747182
73,TOV-112D,ERI,0.036706563,0.011738459,-0.104281327,-0.017503276,0.006956017,0.115036824,-0.096672005,-0.048496675,0.038661609,-0.066674971,0.07719944,0.275900937,-0.132997126,-0.061092424,0.072072853,-0.03508733,-0.026514757,0.096719354,-0.024171712,0.026743674,-0.03234839,-0.045130125,0.089691143
74,TOV-112D,ERI,0.036917432,0.047004316,-0.105035952,-0.014212882,0.008764647,0.106893411,-0.091607992,-0.044592187,0.038605174,-0.064861459,0.064305166,0.268319487,-0.129757802,-0.050977169,0.05669411,-0.033331628,-0.024708679,0.093653655,-0.035164744,0.051031224,0.002135791,-0.060574655,0.068340424
75,TOV-112D,ERI,0.036788538,0.049865724,-0.106503626,-0.018727561,0.007531162,0.111152188,-0.098419903,-0.052817006,0.041753301,-0.065961287,0.07499131,0.274270628,-0.131873577,-0.054795401,0.059886458,-0.03767146,-0.025307178,0.090018188,-0.031418896,-0.009616398,-0.016412813,-0.069312934,0.095958472
76,OV56,ERI,-0.044831611,-0.005805961,0.073643892,-0.025939538,0.043330621,-0.084353389,-0.013300008,0.167409239,-0.019717277,0.052691888,-0.096133796,-0.051031729,0.032860848,-0.076432225,-0.056234383,-0.010979196,0.004704199,-0.226120926,0.022123288,-0.150945638,-0.040515295,0.059580332,-0.110014036
77,OV56,ERI,-0.053764723,0.002135393,0.065765966,-0.018022567,0.042600493,-0.055345476,-0.037619476,0.161566253,-0.026841707,0.063550724,-0.07790346,-0.038748062,0.031326401,-0.074932814,-0.051752185,-0.014970817,0.003619781,-0.146602643,0.009600026,-0.10756715,-0.013545376,0.074144666,-0.074567242
78,OV56,ERI,-0.054769823,-0.02940952,0.066844604,-0.021403504,0.042198215,-0.049119723,-0.040645651,0.161864396,-0.028527662,0.060204403,-0.076645826,-0.036154919,0.030864256,-0.07824248,-0.057407742,-0.023896595,0.003864691,-0.136303993,0.009266337,-0.139939283,-0.001860567,0.032156826,-0.080849395
79,COV362,ERI,-0.053112745,-0.072799282,0.060360666,-0.033354594,0.027978556,-0.011975418,0.038306649,0.10476388,-0.029491512,-0.045337539,-0.04248734,-0.049109086,0.042898614,-0.010263302,-0.063345753,0.021470156,-0.002597,-0.106383129,-0.02999629,-0.051215932,-0.063039248,0.057856054,-0.011287605
80,COV362,ERI,-0.056008831,-0.104611342,0.062133295,-0.040774149,0.029245857,-0.011156097,0.037204609,0.109150653,-0.029432777,-0.044163046,-0.036628532,-0.049023287,0.042658355,-0.008526482,-0.078755697,0.006975759,0.002289499,-0.106783785,-0.013754628,-0.086773588,-0.099686504,0.071095939,-0.02479897
81,COV362,ERI,-0.054931189,-0.116806322,0.060991166,-0.038501002,0.028302497,-0.006403905,0.037882009,0.110431646,-0.029773696,-0.04668351,-0.037060321,-0.046767065,0.041833676,-0.015982371,-0.080533139,0.007663729,0.001474391,-0.097034576,-0.025382714,-0.066137641,-0.083445908,0.06334944,-0.018768074
82,COV504,ERI,-0.056014962,-0.088954606,0.060400958,-0.017782431,0.035352736,-0.003524816,0.007565553,0.157505863,-0.026761682,-0.06061894,0.027147574,-0.041209493,0.021791818,-0.000935472,-0.041862563,0.002534812,-0.018283937,-0.099470343,0.064422334,-0.019973794,-0.046198182,0.112547235,0.133794364
83,COV504,ERI,-0.055251033,-0.07283846,0.060701298,-0.014583253,0.035283493,-0.007314143,0.01011618,0.155923858,-0.021943495,-0.059901677,0.023949628,-0.042990562,0.02392257,0.001930164,-0.049699672,0.025815105,-0.019358721,-0.081520993,0.072966641,-0.031546103,-0.027534647,0.113874395,0.151843921
