,cell,treatment,ME1,ME2,ME3,ME4,ME5,ME6,ME7,ME8,ME9,ME10,ME11,ME12,ME13,ME14,ME16,ME17,ME18,ME19,ME20,ME21,ME22,ME23,ME24
134,OVISE,PTX,-0.037352474,0.051540028,0.023644692,-0.014298743,0.033882696,-0.089505016,0.094956126,-0.057862799,-0.029026836,0.193549981,0.018204393,-0.035388637,0.084160871,-0.041554827,-0.020708145,-0.00880005,-0.02591107,-0.020930007,-0.018368019,0.036484023,0.262831585,-0.039454249,-0.054323708
135,OVISE,PTX,-0.040124683,-0.002705385,0.023936678,-0.020939935,0.034352794,-0.076468736,0.09000784,-0.05759581,-0.027670917,0.194859509,0.030990561,-0.030118811,0.083400996,-0.034777496,-0.026716348,-0.015532309,-0.027915615,-0.04215876,-0.004047191,0.032834844,0.236714669,-0.046752345,-0.089212126
136,TOV-112D,PTX,0.038231124,0.049827886,-0.105186629,-0.016554613,0.007217635,0.108989102,-0.097072403,-0.050737154,0.039883675,-0.065458505,0.071268278,0.274423197,-0.131039968,-0.06304362,0.060891474,-0.029833773,-0.03750551,0.065514141,-0.035083851,0.031842799,-0.042107956,-0.076446173,0.057090528
137,TOV-112D,PTX,0.039181483,0.037902103,-0.105584669,-0.016715192,0.007525618,0.1071955,-0.093627945,-0.048803526,0.042616188,-0.066164896,0.074015325,0.274514409,-0.129472173,-0.05192593,0.063111343,-0.037382963,-0.024617705,0.083711429,-0.040497034,0.006407626,-0.014917508,-0.039305231,0.069352137
138,TOV-112D,PTX,0.040339168,0.062741464,-0.10560881,-0.017957364,0.007392884,0.108411092,-0.095425239,-0.053377691,0.040825729,-0.063748031,0.070514932,0.265919802,-0.13090402,-0.050421226,0.070814796,-0.029852464,-0.020182172,0.099502682,-0.030291267,0.026461034,-0.011795519,-0.052632393,0.076763008
139,OV56,PTX,-0.05541713,-0.118114059,0.062077594,-0.028014737,0.039839075,-0.040014375,-0.045936108,0.167414441,-0.028922186,0.063449746,-0.056841418,-0.03262623,0.032617082,-0.08795629,-0.072759937,-0.02299227,0.011715527,-0.170052168,0.017085854,-0.222266547,-0.077435073,0.102822492,-0.100543541
140,OV56,PTX,-0.056290425,-0.099298687,0.059743707,-0.025359092,0.039195835,-0.039257715,-0.0484416,0.15791757,-0.028380105,0.062111762,-0.054603715,-0.034269983,0.031241417,-0.093760194,-0.063416439,-0.026627599,0.001364538,-0.162244927,0.002695866,-0.192564072,-0.067061304,0.061337361,-0.077735615
141,OV56,PTX,-0.056999676,-0.111280614,0.060511286,-0.024623679,0.039985216,-0.04133818,-0.04748589,0.15989478,-0.030759701,0.065586501,-0.055480803,-0.033269615,0.032004712,-0.08975515,-0.055033967,-0.025839734,-0.006198976,-0.175822128,0.001731332,-0.197995533,-0.022692985,0.066872416,-0.071127281
142,COV362,PTX,-0.05220873,-0.116457613,0.060889034,-0.039698003,0.026933374,-0.0061989,0.035585343,0.102604161,-0.027247213,-0.047630018,-0.031218998,-0.047793925,0.043091444,-0.018472772,-0.08707647,0.00572555,0.006619675,-0.100571884,-0.024609627,-0.052282211,-0.098027915,0.082796665,-0.019066003
143,COV362,PTX,-0.053845246,-0.082998328,0.061007097,-0.038509525,0.027968752,-0.009977479,0.038544938,0.106204225,-0.03250533,-0.043365305,-0.038264815,-0.047382855,0.04118749,-0.010769938,-0.085859993,0.002867955,-0.001321876,-0.127137252,-0.018611686,-0.06858831,-0.072645468,0.061235295,-0.012793159
144,COV362,PTX,-0.051850329,-0.037597835,0.058564658,-0.034927087,0.027841099,-0.009785058,0.038647939,0.095055998,-0.028548313,-0.044254403,-0.041271027,-0.046703717,0.042207443,-0.005221918,-0.076493083,0.00905928,-0.002934568,-0.112534094,-0.021929637,-0.054711305,-0.043578313,0.066244677,-0.034096213
145,COV504,PTX,-0.055990997,-0.001422741,0.062509349,-0.007276442,0.035328455,-0.022270253,0.015340765,0.147587418,-0.023245824,-0.054193712,0.001072783,-0.040021261,0.025738523,0.002782025,-0.037808911,0.024783032,-0.006225639,-0.119303634,0.063888338,0.021964717,-0.011315597,0.10447377,0.090924467
146,COV504,PTX,-0.058058239,-0.051693481,0.063042353,-0.013309763,0.034817019,-0.022073201,0.01352638,0.157570395,-0.028046616,-0.058278669,0.006694182,-0.045186439,0.024143255,-0.005072318,-0.037464592,0.021000491,-0.016144568,-0.083403535,0.064151379,-0.024124372,-0.049778984,0.106532435,0.083398164
147,COV504,PTX,-0.059286895,-0.083136229,0.064200473,-0.014477226,0.036852603,-0.014506238,0.012968479,0.166186326,-0.027734402,-0.055216022,0.018573,-0.04294614,0.025766368,-0.000377221,-0.04684469,0.022665682,-0.02181556,-0.107651215,0.072530228,-0.030754907,-0.057961072,0.121208306,0.109676193
148,COLO-704,PTX,0.207273676,0.126934945,-0.146704811,-0.016654092,-0.226679416,0.131853498,-0.093290033,-0.056632736,0.001290259,-0.061475064,0.122633841,0.034493182,-0.139428754,0.007658617,0.119836967,-0.030261164,-0.018922794,0.035425779,-0.022097317,0.120997036,-0.024486957,-0.06664915,0.07435562
149,COLO-704,PTX,0.212431917,0.00433501,-0.142861118,-0.028181583,-0.220332779,0.138043278,-0.109038954,-0.058837183,0.000823908,-0.073083886,0.14915554,0.04459447,-0.139625759,-0.015535805,0.126398707,-0.052857989,-0.029031423,0.032945526,-0.013309827,0.072204842,-0.061472843,-0.070957632,0.084862677
150,COLO-704,PTX,0.212607126,0.041827644,-0.146391392,-0.025368654,-0.223079841,0.136204683,-0.108611576,-0.052760938,-0.002099934,-0.070932499,0.144978872,0.036358885,-0.139270805,-0.004415234,0.119796559,-0.03935957,-0.044093688,0.033459024,-0.010887318,0.103238995,-0.060860996,-0.039901936,0.062187767
151,COLO,PTX,0.188733201,0.054749419,-0.129752793,-0.015228009,-0.212726507,0.135659941,-0.083308334,-0.053507354,-0.004176052,-0.055094636,0.137912248,0.02409004,-0.125639198,-0.016070747,0.10138569,-0.057476142,-0.023383626,0.040917052,-0.012056509,0.099270675,-0.060357338,-0.056405851,0.074370107
152,COLO,PTX,0.188646062,0.040237201,-0.130663617,-0.020395889,-0.210682643,0.137221223,-0.085746945,-0.055854378,-0.001118606,-0.059024277,0.144423201,0.026639621,-0.12685838,-0.025184928,0.099748852,-0.06190419,-0.011970593,0.034453712,-0.003396555,0.101275775,-0.068317846,-0.073561439,0.155257753
153,COLO,PTX,0.187892719,0.093156848,-0.132030888,-0.013187463,-0.214577449,0.138694758,-0.080757329,-0.06154656,-6.35E-07,-0.057063178,0.137786093,0.024481719,-0.126397188,-0.014130552,0.117136598,-0.049937733,-0.021340484,0.043839394,-0.01227013,0.128685021,-0.039969789,-0.051198904,0.123898933
154,A2780,PTX,0.059776396,0.001613911,-0.135066277,-0.007755185,0.013636767,0.065542189,-0.098972031,-0.062639492,0.319247486,-0.047887681,0.080153843,0.103329677,-0.13103333,-0.036746396,0.19004749,-0.065924035,-0.024689672,0.110688596,0.007189989,0.025839246,-0.006324292,-0.080546575,0.13684701
155,A2780,PTX,0.056508721,0.044912666,-0.134064386,0.003503317,0.014553874,0.061756641,-0.100325384,-0.061602016,0.31041725,-0.043287236,0.065810361,0.100858273,-0.131896079,-0.033982436,0.193234185,-0.058967134,-0.023447909,0.072535885,0.009667892,0.103357217,0.033736423,-0.078222552,0.111297919
156,A2780,PTX,0.055182159,-0.013399807,-0.136361444,0.002668089,0.016126059,0.062052481,-0.101573172,-0.056050504,0.317890834,-0.043457366,0.080284495,0.10312971,-0.12966359,-0.04115336,0.187336411,-0.048003065,-0.030756822,0.087474333,-0.004569055,0.045644261,-0.005378541,-0.092310491,0.104694422
157,COV644,PTX,-0.054121197,-0.074069799,0.069891164,0.009027956,0.032772909,-0.106574981,0.135183795,0.000124991,-0.035550548,-0.017564007,-0.041988288,-0.045656026,0.036843978,-0.04643923,-0.141531449,0.291168552,0.071180266,0.03177548,-0.027389778,-0.032359599,-0.076204529,0.231891929,-0.093523767
158,COV644,PTX,-0.050139561,-0.012609824,0.06794298,0.013832858,0.032830364,-0.105391137,0.133183778,-0.001343321,-0.030316495,-0.016495572,-0.051340052,-0.043831546,0.037991628,-0.038579601,-0.12161001,0.283164902,0.068524289,0.049399814,-0.035105338,-0.032974752,-0.054027143,0.204693309,-0.092458293
159,COV644,PTX,-0.0522025,-0.026810661,0.069075346,0.014671582,0.034852186,-0.111397135,0.138468202,0.000433227,-0.036054066,-0.017741213,-0.057812468,-0.046780658,0.039128263,-0.037181884,-0.122807476,0.283084527,0.069332009,0.036659187,-0.030798338,-0.032563657,-0.036963639,0.236003115,-0.063819529
160,EFO-27,PTX,-0.018683016,-0.104658901,0.053472307,-0.02325209,0.028124398,0.004904933,0.020561382,0.054993631,-0.027044182,-0.026651666,-0.018193323,-0.025150539,0.014376621,-0.045481531,-0.045625887,0.041215626,-0.013666213,-0.018677479,-0.017330966,-0.030027448,-0.014769165,0.006546258,-0.006458648
161,EFO-27,PTX,-0.019225077,-0.056210536,0.052808304,-0.019509961,0.028908689,0.006642525,0.023248582,0.050171105,-0.026061127,-0.028358974,-0.016831222,-0.025571252,0.015048332,-0.036466184,-0.030633145,0.044261674,-0.016305343,-0.020095825,-0.009204989,0.016021402,-0.025309392,-0.004762445,-0.048338732
162,EFO-27,PTX,-0.017407624,-0.062617561,0.051942179,-0.02058926,0.028281223,0.007794422,0.022075822,0.04868919,-0.026054923,-0.029712634,-0.020624311,-0.024297468,0.015777877,-0.038903532,-0.041039432,0.040338531,-0.019276819,-0.020831434,-0.01364972,0.001186357,-0.040341894,-0.004036619,-0.038750242
163,OVCAR-3,PTX,-0.01765825,-0.072243895,-0.011111883,-0.032878775,-0.000211499,0.031402502,0.081464163,-0.07177462,-0.02789943,-0.041382562,0.000512296,-0.021164154,0.032747103,0.172609526,0.000749835,-0.031957798,-0.016029575,-0.014535025,-0.042124168,-0.0232908,-0.030956089,-0.03139852,-0.04605697
164,OVCAR-3,PTX,-0.018592579,-0.114757114,-0.01095815,-0.036748579,-0.000319664,0.034368448,0.079243094,-0.068401048,-0.029579321,-0.042656992,0.002523547,-0.016524314,0.033018244,0.177163146,-0.004277328,-0.0323558,-0.005611864,0.000331384,-0.039876809,-0.0190282,-0.052068224,-0.010299075,-0.069968695
165,OVCAR-3,PTX,-0.016195252,-0.006749812,-0.01268741,-0.02685072,-0.001292635,0.027280836,0.088244363,-0.077905906,-0.018665449,-0.038969331,-0.017804914,-0.020134954,0.033131139,0.179677673,0.016710281,-0.009859424,-0.005353749,-0.005071116,-0.039763305,0.012720867,-0.007434732,0.003353005,-0.032703427
166,OV-90,PTX,-0.017706542,0.075607942,-0.007065072,0.321228937,0.006847341,0.003491084,-0.009336716,-0.044999277,-0.011515117,-0.007630365,-0.073829158,-0.017919252,-0.003451421,-0.009919343,0.024306274,0.000798816,-0.018896,0.045929868,-0.02165754,-0.001401994,-0.013624295,-0.016777398,-0.020557135
167,OV-90,PTX,-0.021932601,0.049966065,-0.00640087,0.320264236,0.008013416,0.006107668,-0.012600903,-0.048080516,-0.015343519,-0.008814694,-0.073095182,-0.01701518,-0.004339034,-0.020309032,0.029045967,0.007084289,-0.027137493,0.049348417,-0.002603199,0.003416385,-0.010702657,0.003083022,-0.036786625
168,OV-90,PTX,-0.019684792,0.05993321,-0.00679435,0.323790174,0.006851594,0.00502337,-0.011018022,-0.042981226,-0.015402747,-0.007360151,-0.068836017,-0.015369521,-0.005252306,-0.013783998,0.03123259,0.003797497,-0.02439182,0.034239199,-0.00298732,0.000634593,-0.020453769,-0.025326635,-0.041338977
169,KURAMOCHI,PTX,-0.018007432,-0.070458323,0.024209868,-0.01681701,0.027909006,-0.02267821,-0.019951039,-0.030709336,-0.00862674,-0.037023248,-0.062828077,-0.035904726,0.035645299,0.126605246,-0.031949189,-0.057012179,-0.032040651,-0.029096211,-0.034372697,-0.02552209,-0.055608362,-0.01248637,-0.045726898
170,KURAMOCHI,PTX,-0.016363517,-0.04217621,0.024644046,-0.020397924,0.026716978,-0.018372342,-0.018776493,-0.027431547,-0.004118016,-0.037402007,-0.066749287,-0.037905319,0.03368018,0.131018727,-0.015496108,-0.051441804,-0.034895334,-0.010943734,-0.037420183,-0.03028211,-0.031262246,-0.029177772,-0.065037196
171,KURAMOCHI,PTX,-0.014424827,-0.001481204,0.024434359,-0.017003368,0.027664674,-0.025449708,-0.020625735,-0.02666894,-0.004040235,-0.035366754,-0.073535924,-0.038310519,0.035262252,0.134462068,-0.027900841,-0.047390046,-0.033220416,-0.022950298,-0.038816555,0.003768911,0.002847221,-0.04031127,-0.049182494
172,OVTOKO,PTX,-0.046272842,0.045864573,0.06539735,0.006070973,0.048484467,-0.100297633,-0.039536777,0.057890561,-0.025735448,0.166306391,-0.087113977,-0.022583838,0.060743419,-0.061211706,-0.015195004,-0.018394615,-0.010402494,-0.129090659,-0.005989421,0.03702189,0.082725692,-0.022741354,0.044450424
173,OVTOKO,PTX,-0.044088475,0.142565513,0.065954379,0.007145718,0.048099282,-0.101979665,-0.03101817,0.05283536,-0.021306707,0.169074548,-0.096768578,-0.027581158,0.062574995,-0.054062239,-0.011928873,-0.008352521,-0.003055923,-0.110776892,-0.015494093,0.009392033,0.116110399,-0.001041516,0.005232319
174,OVTOKO,PTX,-0.043003019,0.082450337,0.065948712,0.00040188,0.047591328,-0.09861171,-0.034632979,0.058478793,-0.024901582,0.16356107,-0.091850162,-0.030148133,0.061393226,-0.062100784,-0.010488403,-0.019040234,-0.013992204,-0.143713559,-0.004590641,0.006690719,0.099607488,-0.01833268,0.004771831
175,OVCAR-4,PTX,-0.031069588,0.030455004,0.045164663,-0.017598238,0.026074638,-0.048432474,0.114379583,-0.0574373,-0.029982211,0.021741604,-0.089601696,-0.05232707,0.079195221,0.077310922,-0.0419829,0.00501869,-0.016855238,0.018297293,-0.049960053,-0.02906133,0.073232784,-0.02836094,-0.068982274
176,OVCAR-4,PTX,-0.031568374,0.036067544,0.044862065,-0.019637028,0.02651919,-0.047688136,0.110539451,-0.059768301,-0.028304333,0.022264987,-0.089919682,-0.050091954,0.079055002,0.076745206,-0.041182083,0.004505362,-0.016712924,-0.001367084,-0.040602856,-0.013082186,0.037283462,-0.028861599,-0.087050346
177,OVCAR-4,PTX,-0.031465804,0.018697606,0.045535623,-0.022325497,0.026222202,-0.048325314,0.111430586,-0.055823968,-0.026036149,0.020856553,-0.084503888,-0.049301127,0.078028059,0.092142094,-0.03976074,-0.001540882,-0.018337531,0.019695345,-0.03857967,-0.041028227,0.03269247,-0.030230732,-0.075626844
178,OVSAHO,PTX,0.011669227,0.07494939,-0.016168863,-0.015800616,-0.009418477,0.014820976,0.006131227,-0.07755852,-0.015117602,-0.038188329,0.058226466,-0.014340595,0.026944987,0.145510703,0.005572837,-0.032571301,-0.019719839,0.024129886,-0.018638268,0.096579843,-0.007692026,-0.027098446,0.0336088
179,OVSAHO,PTX,0.009665957,0.071731373,-0.013482585,-0.014471224,-0.010594245,0.007879747,0.00836521,-0.078232032,-0.016829272,-0.043952134,0.062451737,-0.017078919,0.025855701,0.152739014,-0.006850911,-0.038341296,-0.017090351,0.018831968,-0.009420122,0.092738241,0.008608674,-0.042544804,0.063590496
180,OVSAHO,PTX,0.012928827,0.049048308,-0.015728604,-0.01708452,-0.00983984,0.014278478,0.005027637,-0.077413639,-0.018528085,-0.042066968,0.062314839,-0.013802214,0.025843439,0.154092426,0.001756439,-0.03587403,-0.017998439,0.042791035,-0.021341741,0.096543338,0.002336469,-0.041436445,0.061569771
181,EFO-21,PTX,-0.036916211,-0.031633127,0.042971577,-0.010241426,0.030322933,0.001736624,-0.009001871,-0.016021553,-0.034959788,0.031986368,-0.020687466,-0.052949092,0.060243377,0.026819795,-0.033373656,-0.00892106,-0.038221464,0.019425323,-0.006131576,-0.049557189,-0.025863157,0.031045904,-0.020752662
182,EFO-21,PTX,-0.036855348,-0.064492483,0.041752729,-0.009841738,0.030755848,0.004946248,-0.012168226,-0.011315126,-0.033295171,0.0334938,-0.018003849,-0.049559792,0.058960456,0.020448676,-0.020580856,-0.019566904,-0.030721613,0.030574535,-0.008471035,-0.069451925,-0.004751679,0.004276026,-0.052577122
183,EFO-21,PTX,-0.03725306,-0.014123645,0.042597704,-0.010826461,0.031044124,-0.000328517,-0.009406942,-0.016447267,-0.032906805,0.032967549,-0.022568515,-0.053918754,0.060346256,0.021841782,-0.037771351,-0.005840118,-0.032523318,0.024014197,0.001023493,-0.059823013,-0.001868358,-0.010263464,-0.021005395
184,COV434,PTX,0.05032582,0.171906169,-0.091490752,0.006677105,-0.001383316,0.027319384,-0.075163182,-0.06013354,0.054295343,-0.034759215,0.07795721,0.076002105,-0.093551639,-0.002045214,0.09843448,-0.030507402,-0.022319547,0.157685941,-0.004032917,0.143273453,0.052570698,-0.03424029,0.047919052
185,COV434,PTX,0.046466076,0.139347469,-0.090535485,0.006616107,0.001309657,0.026770179,-0.078431371,-0.063323013,0.054701658,-0.039974516,0.076291854,0.079648294,-0.091117473,-0.016890343,0.092293031,-0.030840009,-0.027772898,0.122829525,-0.006706871,0.133933216,0.005941558,-0.097806832,0.045015444
186,COV434,PTX,0.04883146,0.14816736,-0.090804326,0.001626837,-0.001304647,0.024806162,-0.076283968,-0.06886346,0.062176389,-0.034831569,0.0775397,0.077018827,-0.09109149,-0.008859883,0.09358109,-0.015020319,-0.028443226,0.137763043,-0.01327445,0.120682355,0.026375625,-0.042035009,0.076937343
187,CaOv3,PTX,-0.039343881,0.010361312,0.038575596,-0.00903577,0.018902203,-0.030683281,0.12429519,-0.016530015,-0.019002976,-0.050112908,-0.128593,-0.03289956,0.026429584,-0.010741554,-0.041256691,0.097954408,0.29317681,0.01267682,-0.060642776,-0.012628881,-0.036575439,-0.029789437,-0.044270716
188,CaOv3,PTX,-0.037715065,0.032497801,0.037560253,-0.00386633,0.017870978,-0.036101852,0.12533902,-0.02097473,-0.015743908,-0.050690941,-0.133004355,-0.03240049,0.026489801,-0.009649905,-0.041487218,0.098694872,0.29254726,0.014035382,-0.048168073,-0.009498652,0.006442855,-0.060099206,-0.040289677
189,CaOv3,PTX,-0.036943617,-0.028205512,0.037640794,-0.012190742,0.017995072,-0.029457669,0.123928236,-0.015208918,-0.019022544,-0.052695732,-0.125612074,-0.034858067,0.02580039,-0.015259927,-0.03141453,0.102833236,0.302884294,0.031733946,-0.046030339,-0.057878003,0.002297334,-0.044304177,-0.053209771
